FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.escalation._EmailTLtech	6. Richiamatore -> 3. Tecnico -> Problema tecnico (richiamo) [6.1.3]	Riassegnare il biglietto					
$flow.escalation._EscalateTicket	OTO errato collegato a 1.OTO errato [6.1.1]<N><N>Info su Plug in Use a 2.Plug in Use [6.1.2]<N><N>OTO Dato dal cliente a 3.Delegato [6.1.3]<N><N>Richiesta di controllo stato dell'ordine a 1. Richiesta di controllo dello stato dell'ordine [6.2.1]<N><N>Spostamento al 2.Spostamento (indirizzo idoneo) [6.2.2]<N><N>Terminazione al 3.Terminazione [6.2. 3]<N><N>Chiedere se:<N><T>- le informazioni di contatto (numero di cellulare, indirizzo email) sono corrette,<N><T>- il cliente preferisce essere contattato per telefono, SMS, email, WhatsApp o un altro canale.<N><N>Informare:<N><T>- che un ticket tecnico sarà inoltrato al nostro dipartimento tecnico per ulteriori analisi. <N><T>- potremmo contattarlo.<N><T>- riceverà un feedback il più presto possibile.<N><T>- la scatola deve essere sempre alimentata (230V) e collegata (SFP, Fibra, OTO) durante tutta la vita di un biglietto.	Escalation	so/escalate/tab-it				https://qoof.salt.ch/knowledge/admin/rules/recaller_handling
$flow.escalation._InformTicketIsBeingTreated	Lo contatteremo a breve.	Informare il cliente che il biglietto è in fase di elaborazione					
$flow.escalation._InformUpmostPrio	Sarà contattato entro 48h<N><N><N>Chiede se:<N><T>- le informazioni di contatto (numero di cellulare, indirizzo email) sono corrette,<N><T>- il cliente preferisce essere contattato per telefono, SMS, email, WhatsApp o altro canale. <N><N>Informare:<N><T>- che un ticket tecnico sarà inoltrato al nostro dipartimento tecnico per ulteriori analisi.<N><T>- potrebbero essere contattati.<N><T>- riceveranno un feedback il prima possibile.<N><T>- il box deve essere sempre alimentato (230V) e collegato (SFP, Fibra, OTO) durante tutta la vita di un ticket.	Informare il cliente che il biglietto sarà trattato con priorità					
$flow.escalation._VerifyContactDetails	VTI -> Informazioni sul contraente -> Offerta: Salt Fiber<N><N>Controlla anche in Customer Life, se il cliente non ha fornito altri dettagli di contatto.	Controllare i dati di contatto del cliente e farglielo confermare	vti/checkcontactdetailsit				
$flow.escalation.IsMoveOrTermTicket	5. Terminazione (215)<N>o<N>6. Spostare (216) ?	Si tratta di un biglietto esistente di terminazione [215] o di spostamento [216]?		Déménagement ou Résiliation	Autre		
$flow.escalation.IsOrderTicket	3. Plug in Use info [413]<N>4. OTO Dato dal cliente [414]<N>6. Richiesta di controllo dello stato dell'ordine [416]<N>o<N>1. OTO - OTO sbagliato collegato [511]?	Si tratta di un biglietto d'ordine esistente [413], [414], [416], [511]?		Commande	Autre		
$flow.escalation.IsTechTicket	# Connessione modem [5.2.1]<N># Box Swap (sotto condizione) [5.2.3]<N># Servizi TV e Video [5.4.1]<N># Il LED WWW è spento [5.2.4]?	Si tratta di un ticket tecnico esistente [521], [523], [541] o [524]?		Technique	Autre		
$flow.escalation.LessThanFifteenDaysUntilSwitchDate		Mancano meno di 15 giorni alla data dello scambio?		Oui, moins de 15 jours			
$flow.escalation.TicketOlderThanSixDays		Il biglietto è vecchio di 6 giorni o più?		Oui, 6 jours ou plus			
$flow.escalation._SendMifiMail	Inviare e-mail usando il modello SO:<N><T>Modello di risposta -> 4. Fibra di sale -> 3. Fibra di sale tecnica -> 6. Richiesta Mifi.	Invia un'e-mail	so/mifitemplate				
$flow.escalation._AddEscalationMemo	Aggiungere le informazioni necessarie per l'elaborazione del caso.<N><T>-No Internet.<N><T>- Cavo fibra cambiato.<N><T>- ID del biglietto.<N><T>- Dettagli di contatto aggiornati (se presenti).<N><T>- Se il MiFi è stato dato.<N><T>- Cliente informato che il biglietto viene elaborato con priorità.<N><T>- Ticket escalation.	Aggiungere una nota in VTI	vti/addnoteit				
$flow.escalation.IsMifiNeeded	"Assicurati che il cliente non abbia altri mezzi per connettersi a internet<N>E.g. Non c'è bisogno di offrire se ha un abbonamento Salt mobile Swiss o superiore<N><N>Controlla in ""SO -> Email"" se il cliente ha già un MiFi.<N><N>Se il cliente ha già un Mifi, controlla in Marilyn se è richiesta una ricarica di credito e ricarica il credito PrePay."	Valutare la necessità di un Mifi e proporlo di conseguenza	so/check-send-mifi				https://qoof.salt.ch/bug/internaltools/activation_troubleshooting_free-mifi
