FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.equipment._AddNoteVtiCustDidNotFecthParcel	In VTI eine Notiz hinzufügen: <Q>Customer did not fetch his parcel<Q>	VTI-Notiz hinzufügen	vti/addnotenoparcelde				
$flow.equipment._ExplainToWait	Erklären, dass wir das Material nur ca. 1 Woche vor dem Termin versenden. Bitte um Geduld.	Es ist ein bisschen zu früh.					
$flow.equipment._GiveStatusAndRemindMyaccount	Sendungsverfolgung in Mein Konto empfehlen	Über den Lieferstatus informieren.					
$flow.equipment._InformShipmentStatusMyAccount	MyAccount -> Statusverfolgung -> Sendungsstatus der Hardware 	Informieren, dass die Sendung in Mein Konto verfolgt werden kann.					https://fiber.salt.ch/myaccount/?lang=en#/Statuses
$flow.equipment._OpenPostParcelTracking	Prüfen in:<N><T>1.  VTI<N><T>2. Kundeneriegnis-Protokolle <N><T>3. Tab Aktuelle Aktivitäten (Haupt-Tab)<N><T>4. POST Track and Trace for Send Box: XX.XX.XXXXXX.XXXXXXXX pour ...<N><T>5. <em>Auf die Sendungsnummer klicken.<em>	Auf die Paketverfolgung zugreifen (Die Post)	vti/trackandtrace				
$flow.equipment._ParcelIsBackToSalt		Informieren, dass das Paket an uns zurückgeschickt wurde.					
$flow.equipment._ResendValidationEmail		Die Validierungs-E-Mail erneut senden	vti/emailValidationBTN				
$flow.equipment._SendParcelTrackingByEmail		Die Sendungsnummer per E-Mail senden					
$flow.equipment._SendParcelTrackingBySMS		Die Sendungsnummer per SMS senden					
$flow.equipment._SoOrderLogisticsEquipment	Ein Ticket [421] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein Ticket zur weiteren Abklärung an unsere logistische Abteilung weitergeleitet wurde.	Automatische Ticket-Erstellung [421] in SuperOffice 					
$flow.equipment._SoOrderProcessStatusCheck	Ein Ticket [416] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.	Automatische Ticket-Erstellung [416] in SuperOffice 					
$flow.equipment._TellCustToGoToPost		Den Kunden bitten, zur Post zu gehen, um das Paket abzuholen.					
$flow.equipment._TellCustWeSendParcelBackAgain		Den Kunden informieren, dass das Paket wieder verschickt wird.					
$flow.equipment.DidCustomerRecievedEmail		Hat der Kunde die E-Mail mit der Sendungsnummer erhalten?		Ja	Nein, nicht erhalten		
$flow.equipment.HasCustomerEmailAddress		Eine E-Mail Adresse verlangen und in VTI registrieren 		OK	Hat keine E-Mail-Adresse		https://qoof.salt.ch/de/knowledge/admin/contract/edit_customer_data_in_vti#%C3%A4nderung-der-basisangaben
$flow.equipment.IsPOMOrderPhaseAccepted	Prüfen in:<N><T>1.  VTI<N><T>2. Kundeneriegnis-Protokolle <N><T>3. Tab Aktuelle Aktivitäten (Haupt-Tab)<N><T>4. <em>POM Odering phase …<em>	Ist der Status der Bestellung im System validiert?	vti/vtiPomOrderingPhase	Ja	Keine <Q>POM ordering phase…<Q> 		
$flow.equipment.IsStatusDelivered		Ist der Status <Q>Delivered<Q>?					
$flow.equipment.IsStatusReturned		Ist der Status <Q>Returned<Q>					
$flow.equipment.IsVTILaposteSendBoxMsgVisible	Prüfen in:<N><T>1.  VTI<N><T>2. Kundeneriegnis-Protokolle <N><T>3. Tab Aktuelle Aktivitäten (Haupt-Tab)<N><T>4. <em>LA POSTE send box parcel<em>	Gibt es in VTI <Q>LA POSTE send box parcel<Q>?					
$flow.equipment.IsWhishDateWayAhead		Liegt das Aktivierungsdatum <Q>Whish Date<Q> in mehr als 15 Tagen?		Ja > 15 days	Nein		
$flow.equipment.VTIMailCliackAcceptSent	Voir dans : <N><T>1.  VTI<N><T>2. Informationen zum Auftragnehmer <N><T>3. Owner<N><T>4. <em>Validierung der E-Mail - Ok<em>	Prüfen, ob die E-Mail-Adresse validiert ist	vti/emailvalidatedde	OK	Nicht bestätigt		
$flow.equipment.VtiTrackParcelVisible	Prüfen in:<N><T>1.  VTI<N><T>2. Kundeneriegnis-Protokolle <N><T>3. Tab Aktuelle Aktivitäten (Haupt-Tab)<N><T>4. <em>POST Track and Trace for Send Box : XX.XX.XXXXXX.XXXXXXXX pour ...<em>	Ist die Post-Sendungsnummer sichtbar in VTI?	vti/vtiPostTracking				
$flow.equipment.WasParcelInRothenbug		Ist der Status <Q>Deliverd byRothenbug<Q>?		Deliverd byRothenbug	Nein		
