FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.collection._ExplainReasons		Spiegare i motivi					
$flow.collection._InformUsualPaymentDelays	A seconda del metodo scelto, i pagamenti possono impiegare fino a 5 giorni ad arrivare.<N><N><T>- eBanking -> Il pagamento sarà effettuato nel giro di 1-2 giorni lavorativi.<N><N><T>- Allo sportello della Posta -> Il pagamento sarà effettuato nel giro di 3-5 giorni lavorativi.<N><N><T>- Addebito diretto -> Il pagamento sarà effettuato alla data di scadenza della fattura.<N><N><T>- Addebito diretto con carta di credito -> Il pagamento sarà effettuato alla data di scadenza della fattura.<N><N><T>- Con carta di credito o TWINT -> Il pagamento avrà effetto immediato.<N><N>I servizi saranno sbloccati un'ora dopo la ricezione del pagamento.	Informare il cliente sulle scadenze usuali					https://qoof.salt.ch/customer-process/payment/payment_method/payment_methods
$flow.collection._OneHourAfterMoneyRecivedUnblocked	A seconda del metodo scelto, i pagamenti possono impiegare fino a 5 giorni ad arrivare.<N><N><T>- eBanking -> Il pagamento sarà effettuato nel giro di 1-2 giorni lavorativi.<N><N><T>- Allo sportello della Posta -> Il pagamento sarà effettuato nel giro di 3-5 giorni lavorativi.<N><N><T>- Addebito diretto -> Il pagamento sarà effettuato alla data di scadenza della fattura.<N><N><T>-  Addebito diretto con carta di credito -> Il pagamento sarà effettuato alla data di scadenza della fattura.<N><N><T>- Con carta di credito o TWINT -> Il pagamento avrà effetto immediato.<N><N>I servizi saranno sbloccati un'ora dopo la ricezione del pagamento.	I servizi saranno sbloccati un'ora dopo la ricezione del pagamento.					
$flow.collection._Pay		Il cliente deve pagare gli importi in sospeso.					https://qoof.salt.ch/customer-process/payment/pay_bill_now
$flow.collection._PaymentSearch	Il cliente deve fornirci una conferma di pagamento tramite il formulario di contatto.<N><T>- Utilizzare il modello e-mail SuperOffice Reply template -> 4. Salt Fiber -> 7. Billing and Payment -> 02. Payment -> Payment search.<N><T>- Chiedergli di rispondere all'e-mail affinché possiamo cercare il pagamento.	Chiedere una conferma di pagamento	so/paymentsearchtemplate				
$flow.collection._SoTicketTreeTwoOne	- Un ticket [321] sarà generato automaticamente all'avanzamento alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>NON PROMETTERE NIENTE!'	Creazione automatica del ticket [321] in SuperOffice	so/compensationit				
$flow.collection._VerifyCollectionStep	In:<N>- VTI -> Informazioni di fatturazione -> Collection<N>- Customer Care Dashboard -> Payments -> Collection	Verificare a che punto è la collection e i motivi	ccdashboard/collectionsteps				https://qoof.salt.ch/customer-process/billing/reminder_received/collection_path_residential
$flow.collection._YouWillBeInformed	Dire al cliente che una richiesta di compensazione è stata trasmessa al dipartimento responsabile per un'analisi approfondita e che sarà informato sul risultato.	Informare il cliente sulle azioni eseguite.					
$flow.collection.ForgotToPay		Si tratta di una dimenticanza?					
$flow.collection.IsBillChallenged	O anche i costi di richiamo?	Il cliente mette in discussione la fattura?		Fattura messa in discussione	Fattura accettata		
$flow.collection.IsPaymentOneHourOldVisible		Un pagamento più vecchio di un'ora è visibile in VTI?		Pagamento in VTI	Nessun pagamento visibile		
$flow.collection.IsSaltMistake	Il cliente ha chiesto un cambiamento di:<N><T>- metodo di fatturazione<N><T>- indirizzo di fatturazione<N><T>- indirizzo e-mail per la spedizione della fattura<N><T>- pagatore<N><N>... ma abbiamo commesso un errore di:<N><T>- inserimento dei dati sbagliato<N><T>- negligenza (l'agente non ha effettuato il cambiamento)	Il blocco è dovuto a un errore di Salt?		Errore di Salt	Salt non ha fatto errori		
$flow.collection.IsTechnicalReasons		Il pagamento non ha potuto essere eseguito per ragioni tecniche?		Problema tecnico	Altro		
$flow.collection.ManuallyUnblock	Solo con l'approvazione del TL. 	Sblocco manuale dei servizi TV					https://qoof.salt.ch/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.collection.MoreThanFiveDaysAgo	<T>- eBanking -> Il pagamento sarà effettuato nel giro di 1-2 giorni lavorativi.<N><N><T>- Allo sportello della Posta -> Il pagamento sarà effettuato nel giro di 3-5 giorni lavorativi.<N><N><T>- Addebito diretto -> Il pagamento sarà effettuato alla data di scadenza della fattura.<N><N><T>- Addebito diretto con carta di credito -> Il pagamento sarà effettuato alla data di scadenza della fattura.<N><N><T>- Con carta di credito o TWINT -> Il pagamento avrà effetto immediato.	Più di cinque giorni fa?		Più di 5 giorni	Meno di 5 giorni		
$flow.collection.PayedAlready		Il cliente dice di avere già pagato?					
