FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.collection._ExplainReasons		Expliquer les raisons					
$flow.collection._InformUsualPaymentDelays	Selon la méthode choisie les paiements peuvent mettre 5 jours à arriver.<N><N><T>- eBanking -> Le paiement sera exécuté dans 1-2 jours ouvrables.<N><N><T>- au guichet de la Poste -> Le paiement sera exécuté dans 3-5 jours ouvrables.<N><N><T>- débit direct -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>-  débit direct par carte de crédit -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>- par carte de crédit ou TWINT -> Le paiement sera exécuté avec effet immédiat.<N><N>Les services seront débloqués une heure après l'arrivée du paiement.	Informer le client des délais habituels					https://qoof.salt.ch/customer-process/payment/payment_method/payment_methods
$flow.collection._OneHourAfterMoneyRecivedUnblocked	Selon la méthode choisie les paiements peuvent mettre 5 jours à arriver.<N><N><T>- eBanking -> Le paiement sera exécuté dans 1-2 jours ouvrables.<N><N><T>- au guichet de la Poste -> Le paiement sera exécuté dans 3-5 jours ouvrables.<N><N><T>- débit direct -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>-  débit direct par carte de crédit -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>- par carte de crédit ou TWINT -> Le paiement sera exécuté avec effet immédiat.<N><N>Les services seront débloqués une heure après l'arrivée du paiement.	Les services seront débloqués une heure après l'arrivée du paiement.					
$flow.collection._Pay		Le client doit payer les montants en souffrance					https://qoof.salt.ch/customer-process/payment/pay_bill_now
$flow.collection._PaymentSearch	Le client doit nous fournir une confirmation de paiement via le formulaire de contact.<N><T>- Utiliser le template email SuperOffice Reply template -> 4. Salt Fiber -> 7. Billing and Payment -> 02. Payment -> Payment search.<N><T>- Lui demander de répondre à l'e-mail afin que nous puissions rechercher le paiement.	Demander une confirmation de paiement 	so/paymentsearchtemplate				
$flow.collection._SoTicketTreeTwoOne	'- Un ticket [321] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>NE RIEN PROMETTRE !'	Création automatique de tickets [321] dans SuperOffice	so/compensationfr				
$flow.collection._VerifyCollectionStep	Dans :<N>- VTI -> Informations facturation -> Collection<N>- Customer Care Dashboard -> Payments -> Collection	Vérifier l'étape de collection ainsi que les raisons	ccdashboard/collectionsteps				https://qoof.salt.ch/customer-process/billing/reminder_received/collection_path_residential
$flow.collection._YouWillBeInformed	Dire au client qu'une demande de compensation a été transmise au département responsable pour une analyse approfondie, et qu'il sera informé du résultat.	Informer le client des actions exécutées					
$flow.collection.ForgotToPay		S'agit il d'un oubli ?					
$flow.collection.IsBillChallenged	Ou aussi les frais de rappel ?	Est-ce que le client remet en cause la facture ?		Facture remise en cause	Facture acceptée		
$flow.collection.IsPaymentOneHourOldVisible		Un paiement datant de plus d'une heure est visible dans VTI ?		Paiement dans VTI	Pas de paiement visible		
$flow.collection.IsSaltMistake	Le client a demandé un changement de :<N><T>- méthode de facturation<N><T>- adresse de facturation<N><T>- adresse e-mail pour la livraison de la facture<N><T>- payeur<N><N>... mais nous avons commis une erreur de :<N><T>- mauvaise saisie des données<N><T>- négligence (l'agent n'a pas effectué le changement)	Le blocage est-il dû à une erreur de Salt ?		Erreur Salt	Salt n'a pas commis d'erreur		
$flow.collection.IsTechnicalReasons		Le paiement n'a pas pu être fait pour des raisons techniques ?		Problème technique	Autre		
$flow.collection.ManuallyUnblock	Seulement avec l'approbation du TL. 	Débloque manuellement les services TV					https://qoof.salt.ch/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.collection.MoreThanFiveDaysAgo	<T>- eBanking -> Le paiement sera exécuté dans 1-2 jours ouvrables.<N><N><T>- au guichet de la Poste -> Le paiement sera exécuté dans 3-5 jours ouvrables.<N><N><T>- débit direct -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>-  débit direct par carte de crédit -> Le paiement sera effectué à la date d'échéance de la facture.<N><N><T>- par carte de crédit ou TWINT -> Le paiement sera exécuté avec effet immédiat.	Il y a plus de 5 jours ?		Plus de 5j	Moins de 5j		
$flow.collection.PayedAlready		Le client dit avoir déjà payé ?					
