FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.equipment._AddNoteVtiCustDidNotFecthParcel	Aggiungere una nota <Q>Customer did not fetch his parcel<Q> in VTI	Aggiungere una nota in VTI	vti/addnotenoparcelit				
$flow.equipment._ExplainToWait	Spiegare che inviamo il materiale solo circa 1 settimana prima della data. Bisogna pazientare ancora qualche giorno.	È ancora un po' presto					
$flow.equipment._GiveStatusAndRemindMyaccount	Consigliare il monitoraggio su Mio Conto	Informare sullo stato dell'invio					
$flow.equipment._InformShipmentStatusMyAccount	Mio Conto -> Monitoraggio dello stato -> Stato di spedizione del suo equipaggiamento	Informare che l'invio può essere seguito su Mio Conto					https://fiber.salt.ch/myaccount/?lang=fr#/Statuses
$flow.equipment._OpenPostParcelTracking	Vedere in: <N><T>1.  VTI<N><T>2.  Eventi del cliente <N><T>3. Scheda Historique des actes (tab principale)<N><T>4. POST Track and Trace for Send Box : XX.XX.XXXXXX.XXXXXXXX pour ...<N><T>5. <em>Cliccare sul N° dell'invio<em>	Aprire lo stato dell'invio (La Posta)	vti/trackandtrace				
$flow.equipment._ParcelIsBackToSalt		Informare che il pacco ci è tornato indietro					
$flow.equipment._ResendValidationEmail		Inviare di nuovo l'e-mail di conferma	vti/emailValidationBTN				
$flow.equipment._SendParcelTrackingByEmail		Inviare il N° di spedizione per e-mail					
$flow.equipment._SendParcelTrackingBySMS		Inviare il N° di spedizione per SMS					
$flow.equipment._SoOrderLogisticsEquipment	Un ticket [421] sarà generato automaticamente all'avanzamento alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>Informare:<N><T>- che un ticket sarà trasmesso al nostro servizio di logistica per un'analisi approfondita.	Creazione automatica del ticket [421] in SuperOffice					
$flow.equipment._SoOrderProcessStatusCheck	Un ticket [416] sarà generato automaticamente all'avanzamento alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>Informare:<N><T>- che un ticket tecnico sarà trasmesso per un'analisi approfondita.	Creazione automatica del ticket [416] in SuperOffice					
$flow.equipment._TellCustToGoToPost		Dire al cliente che può andare alla Posta a ritirare il pacco					
$flow.equipment._TellCustWeSendParcelBackAgain		Informare che il pacco sarà spedito di nuovo					
$flow.equipment.DidCustomerRecievedEmail		L'e-mail con il numero dell'invio è stata ricevuta?		Sì	Non, non ricevuta		
$flow.equipment.HasCustomerEmailAddress		Chiedere un indirizzo e-mail e inserirlo in VTI		Ok	Non ha un'e-mail		
$flow.equipment.IsPOMOrderPhaseAccepted	Guardare in: <N><T>1.  VTI<N><T>2. Eventi del cliente <N><T>3. Scheda Historique des actes (tab principale)<N><T>4. <em>POM Ordering phase …<em>	La fase dell'ordine è confermata nei sistemi?	vti/vtiPomOrderingPhase	Sì	Nessun <Q>POM ordering phase…<Q> 		
$flow.equipment.IsStatusDelivered		Lo stato è <Q>Delivered<Q>?					
$flow.equipment.IsStatusReturned		Lo stato è <Q>Returned<Q>?					
$flow.equipment.IsVTILaposteSendBoxMsgVisible	Guardare in: <N><T>1.  VTI<N><T>2. Eventi del cliente <N><T>3. Scheda Historique des actes (tab principale)<N><T>4. <em>LA POSTE send box parcel<em>	In VTI c'è <Q>LA POSTE send box parcel<Q> ?					
$flow.equipment.IsWhishDateWayAhead		La data di attivazione <Q>wish date<Q> è tra più di 15 giorni?		Sì > 15 g	No		
$flow.equipment.VTIMailCliackAcceptSent	Guardare in: <N><T>1.  VTI<N><T>2. Informazioni del conto <N><T>3. Owner<N><T>4. <em>Email validation Ok<em>	Verificare che l'indirizzo e-mail sia confermato	vti/emailvalidatedfr	Ok	Non confermato		
$flow.equipment.VtiTrackParcelVisible	Guardare in: <N><T>1.  VTI<N><T>2. Eventi del cliente <N><T>3. Scheda Historique des actes (tab principale)<N><T>4. <em>POST Track and Trace for Send Box : XX.XX.XXXXXX.XXXXXXXX per ...<em>	Il numero di spedizione della Posta è su VTI?	vti/vtiPostTracking				
$flow.equipment.WasParcelInRothenbug		Lo stato è <Q>Deliverd byRothenbug<Q> ?		Deliverd byRothenbug	No		
