FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.collection._ExplainReasons		Die Gründe erklären					
$flow.collection._InformUsualPaymentDelays	Je nach gewählter Methode kann es bis zu 5 Tage dauern, bis die Zahlungen eintreffen.<N><N><T>- eBanking -> die Zahlung wird in 1-2 Werktagen ausgeführt.<N><N><T>- bei dem Postschalter -> die Zahlung wird in 3-5 Werktagen ausgeführt.<N><N><T>-LSV -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>-LSV Kreditkarte -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>- Zahlung mit Kreditkarte oder TWINT -> Die Zahlung wird mit sofortiger Wirkung ausgeführt.<N><N>Die Dienste werden eine Stunde nach Zahlungseingang entsperrt	Den Kunden über die üblichen Verzögerungen informieren					https://qoof.salt.ch/de/customer-process/payment/payment_method/payment_methods
$flow.collection._OneHourAfterMoneyRecivedUnblocked	Je nach gewählter Methode kann es bis zu 5 Tage dauern, bis die Zahlungen eintreffen.<N><N><T>- eBanking -> die Zahlung wird in 1-2 Werktagen ausgeführt.<N><N><T>- bei dem Postschalter -> die Zahlung wird in 3-5 Werktagen ausgeführt.<N><N><T>-LSV -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>-LSV Kreditkarte -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>- Zahlung mit Kreditkarte oder TWINT -> Die Zahlung wird mit sofortiger Wirkung ausgeführt.<N><N>Die Dienste werden eine Stunde nach Zahlungseingang entsperrt	Die Dienste werden eine Stunde nach Zahlungseingang entsperrt					
$flow.collection._Pay		Der Kunde muss den überfälligen Betrag bezahlen					https://qoof.salt.ch/de/customer-process/payment/pay_bill_now
$flow.collection._PaymentSearch	Der Kunde muss uns über das Kontaktformular eine Bestätigung der Zahlung zukommen lassen.<N><T>- Die SuperOffice Vorlage Reply template -> 4. Salt Fiber -> 7. Billing and Payment -> 02. Payment -> Payment search verwenden.<N>- Ihn bitten auf die E-Mail zu antworten, damit wir die Zahlung suchen können.	Zahlungsnachweis anfordern	so/paymentsearchtemplate				
$flow.collection._SoTicketTreeTwoOne	Ein Ticket [321] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>NICHTS VERSPRECHEN!	Automatische Ticket-Erstellung [321] in SuperOffice 	so/compensationde				
$flow.collection._VerifyCollectionStep	In :<N>- VTI -> Abrechnungsinformationen -> Sammlungshistorie <N>- Customer Care Dashboard -> Payments -> Collection	Die Mahnprozess-Schritte und Gründe überprüfen	ccdashboard/collectionsteps				https://qoof.salt.ch/de/customer-process/billing/reminder_received/collection_path_residential
$flow.collection._YouWillBeInformed	Dem Kunden mitteilen, dass ein Entschädigungsantrag zur detaillierten Analyse an die zuständige Abteilung weitergeleitet wurde und er über das Ergebnis informiert wird.	Den Kunden über die ausgeführten Handlungen informieren					
$flow.collection.ForgotToPay		Handelt es sich um ein Versehen?					
$flow.collection.IsBillChallenged	Oder auch die Mahngebühren?	Bestreitet der Kunde die Rechnung?		Rechnung bestreitet	Rechnung angenommen		
$flow.collection.IsPaymentOneHourOldVisible		Ist eine Zahlung, die älter als eine Stunde ist, in VTI sichtbar?		Zahlung sichtbar in VTI	Keine sichtbare Zahlung 		
$flow.collection.IsSaltMistake	Der Kunde verlangte die Änderung: <N><T>- der Rechnungsart<N><T>- der Rechnungsadresse<N><T>- der E-Mail-Adresse für die Rechnungszustellung<N><T>- des Zahlers<N><N>… aber uns ist ein Fehler unterlaufen, wie z.B.: <N><T>- falsche Datenerfassung<N><T>- Nachlässigkeit (der Agent hat die Änderung nicht vorgenommen)	Ist die Sperrung aufgrund eines Fehlers von Salt aufgetreten?		Fehler von Salt	Kein Fehler von Salt		
$flow.collection.IsTechnicalReasons		Wurde die Zahlung aufgrund technischer Probleme nicht geleistet?		Technisches Problem	Anderer Grund		
$flow.collection.ManuallyUnblock	Nur mit der Genehmigung des TLs.	TV-Dienste manuell entsperren					https://qoof.salt.ch/de/customer-process/use_trouble/tv/salttv_automatic_deactivation_after_non_use
$flow.collection.MoreThanFiveDaysAgo	<T>- eBanking -> die Zahlung wird in 1-2 Werktagen ausgeführt.<N><N><T>- bei dem Postschalter -> die Zahlung wird in 3-5 Werktagen ausgeführt.<N><N><T>-LSV -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>-LSV Kreditkarte -> Die Zahlung wird am Fälligkeitsdatum der Rechnungen ausgeführt.<N><N><T>- Zahlung mit Kreditkarte oder TWINT -> Die Zahlung wird mit sofortiger Wirkung ausgeführt.	Vor mehr als 5 Tagen?		Mehr als 5 Tage	Weniger als 5 Tage 		
$flow.collection.PayedAlready		Der Kunde behauptet, schon bezahlt zu haben?					
