FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Hello everyone!						
$flow.TutoOne	This is <LQ>mapped<RQ>:<N><T>I don't have Internet<C><N><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Decision support					
$flow.TutoTwo							
$flow.all.customer._SendTechMail	Confirm the creation of the ticket via the following SuperOffice template:<N><T>4.Salt Fiber -> 3.Salt Fiber Technical -> 4.Acknowledgement -> 03.Technical cases Open Front - correspondence.	Send an email					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Press the reset button on the back of the modem using a paper clip or similar pointed instrument.<N><N>Hold the button for X seconds.<N><N>In case the router settings were changed, they have to be redefined in the Admin Console.<N><N>The default password and username is admin / admin.<N><N>The synchronization phase is finished as soon as the FIBER, WWW and WLAN LEDs light up again and stop blinking.	Reset the Fiber Box to factory settings	box/box-reset	Reset DONE	Failed to reset		https://qoof.salt.ch/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow.all.vti._AddMemoVti		Add a note in VTI	vti/addnoteen				
$flow.End	Click >> to start a new trouble shooting session	End	general/end				
$flow.TutoTree	Follow the procedure by: <N><T>- clicking on the buttons<N><T>- or using the keyboard (as on the picture beside).<N><N>On some pages, you will find the following icon under which you will find more detailed instructions:<N><T>- Qoof Pages<N><T>- YouTube videos<N><T>- Other web pages<N><T>- Etc...	General instructions	ui/tutoKeyboardEN				https://qoof.salt.ch
$flow.Intro	The customer contacts us, complaining about<N><T>- not being able to connect to the Internet (<em>e.g. check that the box is at his place<em>).<N><T>- having trouble watching the TV.<N><T>- hasn't received his equipment (Fiber Box).	I have a problem with my Salt product…<N>TV / Equipment delivery / Internet connection	customer/When-It-Doesnt-Work	Internet doesn't work	TV does not function well	Didn't receive the Fiber Box	
$flow.all.customer.IsSlowOrKaput		Is the internet just slow?		Yes, slow	No, doesn't work at all	Rather intermittent cuts	
